Name,Team,Number,Position,Age,Height,Weight,College,Salary
Aaron Brooks,Chicago Bulls,0,PG,31,153,161,Oregon,2250000
Jimmy Butler,Chicago Bulls,21,SG,26,154,220,Marquette,16407500
Mike Dunleavy,Chicago Bulls,34,SG,35,155,230,Duke,4500000
Cristiano Felicio,Chicago Bulls,6,PF,23,156,275,,525093
Pau Gasol,Chicago Bulls,16,C,35,157,250,,7448760
Taj Gibson,Chicago Bulls,22,PF,30,158,225,USC,8500000
Justin Holiday,Chicago Bulls,7,SG,27,159,185,Washington,947276
Doug McDermott,Chicago Bulls,3,SF,24,160,225,Creighton,2380440
Nikola Mirotic,Chicago Bulls,44,PF,25,161,220,,5543725
E'Twaun Moore,Chicago Bulls,55,SG,27,162,191,Purdue,1015421
Joakim Noah,Chicago Bulls,13,C,31,163,232,Florida,13400000
Bobby Portis,Chicago Bulls,5,PF,21,164,230,Arkansas,1391160
Derrick Rose,Chicago Bulls,1,PG,27,165,190,Memphis,20093064
Tony Snell,Chicago Bulls,20,SF,24,166,200,New Mexico,1535880
Matthew Dellavedova,Cleveland Cavaliers,8,PG,25,167,198,Saint Mary's,1147276
Channing Frye,Cleveland Cavaliers,9,PF,33,168,255,Arizona,8193029
Kyrie Irving,Cleveland Cavaliers,2,PG,24,169,193,Duke,16407501
LeBron James,Cleveland Cavaliers,23,SF,31,170,250,,22970500
Richard Jefferson,Cleveland Cavaliers,24,SF,35,171,233,Arizona,947276
Dahntay Jones,Cleveland Cavaliers,30,SG,35,172,225,Duke,
James Jones,Cleveland Cavaliers,1,SG,35,173,218,Miami (FL),947276
Sasha Kaun,Cleveland Cavaliers,14,C,31,174,260,Kansas,1276000
Kevin Love,Cleveland Cavaliers,0,PF,27,175,251,UCLA,19689000
Jordan McRae,Cleveland Cavaliers,12,SG,25,176,179,Tennessee,111196
Timofey Mozgov,Cleveland Cavaliers,20,C,29,177,275,,4950000
Iman Shumpert,Cleveland Cavaliers,4,SG,25,178,220,Georgia Tech,8988765
J.R. Smith,Cleveland Cavaliers,5,SG,30,179,225,,5000000
Tristan Thompson,Cleveland Cavaliers,13,C,25,180,238,Texas,14260870
Mo Williams,Cleveland Cavaliers,52,PG,33,150,198,Alabama,2100000
Joel Anthony,Detroit Pistons,50,C,33,151,245,UNLV,2500000
Aron Baynes,Detroit Pistons,12,C,29,152,260,Washington State,6500000
Steve Blake,Detroit Pistons,22,PG,36,153,172,Maryland,2170465
Lorenzo Brown,Detroit Pistons,17,PG,25,154,189,North Carolina State,111444
Reggie Bullock,Detroit Pistons,25,SF,25,155,205,North Carolina,1252440
Kentavious Caldwell-Pope,Detroit Pistons,5,SG,23,156,205,Georgia,2891760
Spencer Dinwiddie,Detroit Pistons,8,PG,23,157,200,Colorado,845059
Andre Drummond,Detroit Pistons,0,C,22,158,279,Connecticut,3272091
Tobias Harris,Detroit Pistons,34,SF,23,159,235,Tennessee,16000000
Darrun Hilliard,Detroit Pistons,6,SF,23,160,205,Villanova,600000
Reggie Jackson,Detroit Pistons,1,PG,26,161,208,Boston College,13913044
Stanley Johnson,Detroit Pistons,3,SF,20,162,245,Arizona,2841960
Jodie Meeks,Detroit Pistons,20,SG,28,163,210,Kentucky,6270000
Marcus Morris,Detroit Pistons,13,PF,26,164,235,Kansas,5000000
Anthony Tolliver,Detroit Pistons,43,PF,31,165,240,Creighton,3000000
Lavoy Allen,Indiana Pacers,5,PF,27,166,255,Temple,4050000
Rakeem Christmas,Indiana Pacers,25,PF,24,167,250,Syracuse,1007026
Monta Ellis,Indiana Pacers,11,SG,30,168,185,,10300000
Paul George,Indiana Pacers,13,SF,26,169,220,Fresno State,17120106
George Hill,Indiana Pacers,3,PG,30,170,188,IUPUI,8000000
Jordan Hill,Indiana Pacers,27,C,28,171,235,Arizona,4000000
Solomon Hill,Indiana Pacers,44,SF,25,172,225,Arizona,1358880
Ty Lawson,Indiana Pacers,10,PG,28,173,195,North Carolina,211744
Ian Mahinmi,Indiana Pacers,28,C,29,174,250,,4000000
C.J. Miles,Indiana Pacers,0,SF,29,175,231,,4394225
Glenn Robinson III,Indiana Pacers,40,SG,22,176,222,Michigan,1100000
Rodney Stuckey,Indiana Pacers,2,PG,30,177,205,Eastern Washington,7000000
Myles Turner,Indiana Pacers,33,PF,20,178,243,Texas,2357760
Shayne Whittington,Indiana Pacers,42,PF,25,179,250,Western Michigan,845059
Joe Young,Indiana Pacers,1,PG,23,180,180,Oregon,1007026
Giannis Antetokounmpo,Milwaukee Bucks,34,SF,21,150,222,,1953960
Jerryd Bayless,Milwaukee Bucks,19,PG,27,151,200,Arizona,3000000
Michael Carter-Williams,Milwaukee Bucks,5,PG,24,152,190,Syracuse,2399040
Jared Cunningham,Milwaukee Bucks,9,SG,25,153,195,Oregon State,947276
Tyler Ennis,Milwaukee Bucks,11,PG,21,154,194,Syracuse,1662360
John Henson,Milwaukee Bucks,31,PF,25,155,229,North Carolina,2943221
Damien Inglis,Milwaukee Bucks,17,SF,21,156,246,,855000
O.J. Mayo,Milwaukee Bucks,3,SG,28,157,210,USC,8000000
Khris Middleton,Milwaukee Bucks,22,SG,24,158,234,Texas A&M,14700000
Greg Monroe,Milwaukee Bucks,15,C,26,159,265,Georgetown,16407500
Steve Novak,Milwaukee Bucks,6,SF,32,160,225,Marquette,295327
Johnny O'Bryant III,Milwaukee Bucks,77,PF,23,161,257,LSU,845059
Jabari Parker,Milwaukee Bucks,12,PF,21,162,250,Duke,5152440
Miles Plumlee,Milwaukee Bucks,18,C,27,163,249,Duke,2109294
Greivis Vasquez,Milwaukee Bucks,21,PG,29,164,217,Maryland,6600000
Rashad Vaughn,Milwaukee Bucks,20,SG,19,165,202,UNLV,1733040
Justin Anderson,Dallas Mavericks,1,SG,22,166,228,Virginia,1449000
J.J. Barea,Dallas Mavericks,5,PG,31,167,185,Northeastern,4290000
Jeremy Evans,Dallas Mavericks,21,SF,28,168,200,Western Kentucky,1100602
Raymond Felton,Dallas Mavericks,2,PG,31,169,205,North Carolina,3950313
Devin Harris,Dallas Mavericks,34,PG,33,170,185,Wisconsin,4053446
David Lee,Dallas Mavericks,42,PF,33,171,245,Florida,2085671
Wesley Matthews,Dallas Mavericks,23,SG,29,172,220,Marquette,16407500
JaVale McGee,Dallas Mavericks,11,C,28,173,270,Nevada,1270964
Salah Mejri,Dallas Mavericks,50,C,29,174,245,,525093
Dirk Nowitzki,Dallas Mavericks,41,PF,37,175,245,,8333334
Zaza Pachulia,Dallas Mavericks,27,C,32,176,275,,5200000
Chandler Parsons,Dallas Mavericks,25,SF,27,177,230,Florida,15361500
Dwight Powell,Dallas Mavericks,7,PF,24,178,240,Stanford,845059
Charlie Villanueva,Dallas Mavericks,3,PF,31,179,232,Connecticut,947276
Deron Williams,Dallas Mavericks,8,PG,31,180,200,Illinois,5378974
Trevor Ariza,Houston Rockets,1,SF,30,150,215,UCLA,8193030
Michael Beasley,Houston Rockets,8,SF,27,151,235,Kansas State,306527
Patrick Beverley,Houston Rockets,2,PG,27,152,185,Arkansas,6486486
Corey Brewer,Houston Rockets,33,SG,30,153,186,Florida,8229375
Clint Capela,Houston Rockets,15,PF,22,154,240,,1242720
Sam Dekker,Houston Rockets,7,SF,22,155,230,Wisconsin,1646400
Andrew Goudelock,Houston Rockets,0,PG,27,156,200,Charleston,200600
James Harden,Houston Rockets,13,SG,26,157,220,Arizona State,15756438
Montrezl Harrell,Houston Rockets,35,PF,22,158,240,Louisville,1000000
Dwight Howard,Houston Rockets,12,C,30,159,265,,22359364
Terrence Jones,Houston Rockets,6,PF,24,160,252,Kentucky,2489530
K.J. McDaniels,Houston Rockets,32,SG,23,161,205,Clemson,3189794
Donatas Motiejunas,Houston Rockets,20,PF,25,162,222,,2288205
Josh Smith,Houston Rockets,5,C,30,163,225,,947276
Jason Terry,Houston Rockets,31,SG,38,164,185,Arizona,947276
Jordan Adams,Memphis Grizzlies,3,SG,21,165,209,UCLA,1404600
Tony Allen,Memphis Grizzlies,9,SG,34,166,213,Oklahoma State,5158539
Chris Andersen,Memphis Grizzlies,7,PF,37,167,245,Blinn College,5000000
Matt Barnes,Memphis Grizzlies,22,SF,36,168,226,UCLA,3542500
Vince Carter,Memphis Grizzlies,15,SG,39,169,220,North Carolina,4088019
Mike Conley,Memphis Grizzlies,11,PG,28,170,175,Ohio State,9588426
Bryce Cotton,Memphis Grizzlies,8,PG,23,171,165,Providence,700902
Jordan Farmar,Memphis Grizzlies,4,PG,29,172,180,UCLA,
Marc Gasol,Memphis Grizzlies,33,C,31,173,255,,19688000
JaMychal Green,Memphis Grizzlies,0,PF,25,174,227,Alabama,845059
P.J. Hairston,Memphis Grizzlies,19,SF,23,175,230,North Carolina,1201440
Jarell Martin,Memphis Grizzlies,10,PF,22,176,239,LSU,1230840
Ray McCallum,Memphis Grizzlies,5,PG,24,177,190,Detroit,
Xavier Munford,Memphis Grizzlies,14,PG,24,178,180,Rhode Island,
Zach Randolph,Memphis Grizzlies,50,PF,34,179,260,Michigan State,9638555
Lance Stephenson,Memphis Grizzlies,1,SF,25,180,230,Cincinnati,9000000
Alex Stepheson,Memphis Grizzlies,35,PF,28,150,270,USC,
Brandan Wright,Memphis Grizzlies,34,PF,28,151,210,North Carolina,5464000
Alexis Ajinca,New Orleans Pelicans,42,C,28,152,248,,4389607
Ryan Anderson,New Orleans Pelicans,33,PF,28,153,240,California,8500000
Omer Asik,New Orleans Pelicans,3,C,29,154,255,,9213483
Luke Babbitt,New Orleans Pelicans,8,SF,26,155,225,Nevada,1100602
Norris Cole,New Orleans Pelicans,30,PG,27,156,175,Cleveland State,3036927
Dante Cunningham,New Orleans Pelicans,44,PF,29,157,230,Villanova,2850000
Anthony Davis,New Orleans Pelicans,23,PF,23,158,253,Kentucky,7070730
Bryce Dejean-Jones,New Orleans Pelicans,31,SG,23,159,203,Iowa State,169883
Toney Douglas,New Orleans Pelicans,16,PG,30,160,195,Florida State,1164858
James Ennis,New Orleans Pelicans,4,SF,25,161,210,Long Beach State,845059
Tyreke Evans,New Orleans Pelicans,1,SG,26,162,220,Memphis,10734586
Tim Frazier,New Orleans Pelicans,2,PG,25,163,170,Penn State,845059
Alonzo Gee,New Orleans Pelicans,15,SF,29,164,225,Alabama,1320000
Eric Gordon,New Orleans Pelicans,10,SG,27,165,215,Indiana,15514031
Jordan Hamilton,New Orleans Pelicans,25,SG,25,166,220,Texas,1015421
Jrue Holiday,New Orleans Pelicans,11,PG,25,167,205,UCLA,10595507
Orlando Johnson,New Orleans Pelicans,0,SG,27,168,220,UC Santa Barbara,55722
Kendrick Perkins,New Orleans Pelicans,5,C,31,169,270,,947276
Quincy Pondexter,New Orleans Pelicans,20,SF,28,170,220,Washington,3382023
LaMarcus Aldridge,San Antonio Spurs,12,PF,30,171,240,Texas,19689000
Kyle Anderson,San Antonio Spurs,1,SF,22,172,230,UCLA,1142880
Matt Bonner,San Antonio Spurs,15,C,36,173,235,Florida,947276
Boris Diaw,San Antonio Spurs,33,C,34,174,250,,7500000
Tim Duncan,San Antonio Spurs,21,C,40,175,250,Wake Forest,5250000
Manu Ginobili,San Antonio Spurs,20,SG,38,176,205,,2814000
Danny Green,San Antonio Spurs,14,SG,28,177,215,North Carolina,10000000
Kawhi Leonard,San Antonio Spurs,2,SF,24,178,230,San Diego State,16407500
Boban Marjanovic,San Antonio Spurs,40,C,27,179,290,,1200000
Kevin Martin,San Antonio Spurs,23,SG,33,180,199,Western Carolina,200600
Andre Miller,San Antonio Spurs,24,PG,40,150,200,Utah,250750
Patty Mills,San Antonio Spurs,8,PG,27,151,185,Saint Mary's,3578947
Tony Parker,San Antonio Spurs,9,PG,34,152,185,,13437500
Jonathon Simmons,San Antonio Spurs,17,SG,26,153,195,Houston,525093
David West,San Antonio Spurs,30,PF,35,154,250,Xavier,1499187
Kent Bazemore,Atlanta Hawks,24,SF,26,155,201,Old Dominion,2000000
Tim Hardaway Jr.,Atlanta Hawks,10,SG,24,156,205,Michigan,1304520
Kirk Hinrich,Atlanta Hawks,12,SG,35,157,190,Kansas,2854940
Al Horford,Atlanta Hawks,15,C,30,158,245,Florida,12000000
Kris Humphries,Atlanta Hawks,43,PF,31,159,235,Minnesota,1000000
Kyle Korver,Atlanta Hawks,26,SG,35,160,212,Creighton,5746479
Paul Millsap,Atlanta Hawks,4,PF,31,161,246,Louisiana Tech,18671659
Mike Muscala,Atlanta Hawks,31,PF,24,162,240,Bucknell,947276
Lamar Patterson,Atlanta Hawks,13,SG,24,163,225,Pittsburgh,525093
Dennis Schroder,Atlanta Hawks,17,PG,22,164,172,,1763400
Mike Scott,Atlanta Hawks,32,PF,27,165,237,Virginia,3333333
Thabo Sefolosha,Atlanta Hawks,25,SF,32,166,220,,4000000
Tiago Splitter,Atlanta Hawks,11,C,31,167,245,,9756250
Walter Tavares,Atlanta Hawks,22,C,24,168,260,,1000000
Jeff Teague,Atlanta Hawks,0,PG,27,169,186,Wake Forest,8000000
Nicolas Batum,Charlotte Hornets,5,SG,27,170,200,,13125306
Troy Daniels,Charlotte Hornets,30,SG,24,171,205,Virginia Commonwealth,947276
Jorge Gutierrez,Charlotte Hornets,12,PG,27,172,189,California,189455
Tyler Hansbrough,Charlotte Hornets,50,PF,30,173,250,North Carolina,947276
Aaron Harrison,Charlotte Hornets,9,SG,21,174,210,Kentucky,525093
Spencer Hawes,Charlotte Hornets,0,PF,28,175,245,Washington,6110034
Al Jefferson,Charlotte Hornets,25,C,31,176,289,,13500000
Frank Kaminsky III,Charlotte Hornets,44,C,23,177,240,Wisconsin,2612520
Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,22,178,232,Kentucky,6331404
Jeremy Lamb,Charlotte Hornets,3,SG,24,179,185,Connecticut,3034356
Courtney Lee,Charlotte Hornets,1,SG,30,180,200,Western Kentucky,5675000
Jeremy Lin,Charlotte Hornets,7,PG,27,150,200,Harvard,2139000
Kemba Walker,Charlotte Hornets,15,PG,26,151,184,Connecticut,12000000
Marvin Williams,Charlotte Hornets,2,PF,29,152,237,North Carolina,7000000
Cody Zeller,Charlotte Hornets,40,C,23,153,240,Indiana,4204200
Chris Bosh,Miami Heat,1,PF,32,154,235,Georgia Tech,22192730
Luol Deng,Miami Heat,9,SF,31,155,220,Duke,10151612
Goran Dragic,Miami Heat,7,PG,30,156,190,,14783000
Gerald Green,Miami Heat,14,SF,30,157,205,,947276
Udonis Haslem,Miami Heat,40,PF,36,158,235,Florida,2854940
Joe Johnson,Miami Heat,2,SF,34,159,240,Arkansas,261894
Tyler Johnson,Miami Heat,8,SG,24,160,186,Fresno State,845059
Josh McRoberts,Miami Heat,4,PF,29,161,240,Duke,5543725
Josh Richardson,Miami Heat,0,SG,22,162,200,Tennessee,525093
Amar'e Stoudemire,Miami Heat,5,PF,33,163,245,,947276
Dwyane Wade,Miami Heat,3,SG,34,164,220,Marquette,20000000
Briante Weber,Miami Heat,12,PG,23,165,165,Virginia Commonwealth,
Hassan Whiteside,Miami Heat,21,C,26,166,265,Marshall,981348
Justise Winslow,Miami Heat,20,SF,20,167,225,Duke,2481720
Dorell Wright,Miami Heat,11,SF,30,168,205,,
Dewayne Dedmon,Orlando Magic,3,C,26,169,245,USC,947276
Evan Fournier,Orlando Magic,10,SG,23,170,205,,2288205
Aaron Gordon,Orlando Magic,0,PF,20,171,220,Arizona,4171680
Mario Hezonja,Orlando Magic,23,SG,21,172,218,,3741480
Ersan Ilyasova,Orlando Magic,7,PF,29,173,235,,7900000
Brandon Jennings,Orlando Magic,55,PG,26,174,169,,8344497
Devyn Marble,Orlando Magic,11,SF,23,175,200,Iowa,845059
Shabazz Napier,Orlando Magic,13,PG,24,176,175,Connecticut,1294440
Andrew Nicholson,Orlando Magic,44,PF,26,177,250,St. Bonaventure,2380593
Victor Oladipo,Orlando Magic,5,SG,24,178,210,Indiana,5192520
Elfrid Payton,Orlando Magic,4,PG,22,179,185,Louisiana-Lafayette,2505720
Jason Smith,Orlando Magic,14,PF,30,180,240,Colorado State,4300000
Nikola Vucevic,Orlando Magic,9,C,25,150,260,USC,11250000
C.J. Watson,Orlando Magic,32,PG,32,151,175,Tennessee,5000000
Alan Anderson,Washington Wizards,6,SG,33,152,220,Michigan State,4000000
Bradley Beal,Washington Wizards,3,SG,22,153,207,Florida,5694674
Jared Dudley,Washington Wizards,1,SF,30,154,225,Boston College,4375000
Jarell Eddie,Washington Wizards,8,SG,24,155,218,Virginia Tech,561716
